method,rows,unique_samples,avg_original_tokens,avg_compressed_tokens,avg_prompt_tokens,avg_compression_ratio,avg_token_saving_ratio,avg_compression_time,avg_answer_time,contains_answer_rate,avg_f1,empty_prediction_count,fallback_used_count,retry_used_count,error_count,avg_api_prompt_tokens,avg_api_completion_tokens,avg_api_total_tokens
bm25,100,100,1510.09,756.43,796.99,1.9964175414616607,0.4974933340809105,0.003898627758026,2.8660815572738647,0.62,0.5305799968740558,0,0,2,0,813.48,193.05,1006.53
llmlingua,100,100,1510.09,720.3,761.46,2.097372872200135,0.5217590643946476,0.5426820659637451,3.93845760345459,0.6,0.4940295624101046,0,0,3,0,774.17,276.92,1051.09
longllmlingua,100,100,1510.09,720.3,761.46,2.097372872200135,0.5217590643946476,0.5126699447631836,3.886933054924011,0.63,0.5081899214672335,0,0,6,0,774.17,273.05,1047.22
original,100,100,1510.09,1510.09,1551.16,1.0,0.0,0.0,3.066764388084412,0.63,0.4812866153815818,0,0,1,0,1561.7,210.27,1771.97
truncate,100,100,1510.09,750.0,791.03,2.013453333333333,0.5017737525172454,0.0013918232917785,2.7305940079689024,0.62,0.5023205893802979,0,0,1,0,807.36,164.6,971.96
