method,rows,avg_compressed_tokens,avg_prompt_tokens,avg_api_prompt_tokens,avg_api_completion_tokens,avg_api_total_tokens,avg_token_saving_ratio,avg_answer_time,contains_answer_rate,avg_f1,f1_per_1k_tokens,contains_answer_per_1k_tokens,tokens_per_correct_answer
original,350,5206.805714285714,5249.82,5210.288571428571,216.04857142857142,5426.337142857143,0.0,2.9049934032985143,0.6285714285714286,0.5521049476374795,0.10174541925840944,0.11583714981639813,8632.809090909092
truncate,350,1493.6685714285713,1536.8857142857144,1538.2942857142857,190.28857142857143,1728.5828571428572,0.58493063799648,2.692346773828779,0.46285714285714286,0.39419148778838375,0.2280431546335798,0.26776682468215085,3734.5925925925926
bm25,350,1503.06,1545.6857142857143,1549.7542857142857,232.6342857142857,1782.3885714285714,0.5817799478468454,2.9735158382143294,0.5628571428571428,0.5335089680247265,0.2993224802811224,0.3157881238017684,3166.680203045685
llmlingua,350,1447.0114285714285,1490.3542857142857,1487.7,378.84,1866.54,0.5992843379299836,4.441971070425851,0.5571428571428572,0.48675798117364494,0.26078090004695587,0.29848964240940845,3350.2
longllmlingua,350,1447.0114285714285,1490.3542857142857,1487.7,419.7657142857143,1907.4657142857143,0.5992843379299836,4.7253814165932795,0.5771428571428572,0.5042355188018894,0.26434840481036365,0.30257050117358414,3305.0148514851485
