method,sample_count,unique_samples,valid_predictions,empty_predictions,contains_answer_avg,f1_avg,nq_style_em_avg,nq_style_f1_avg,original_tokens_avg,compressed_tokens_avg,prompt_tokens_avg,token_saving_ratio_avg,compression_time_avg,answer_time_avg,retry_used_count,error_count,api_prompt_tokens_avg,api_completion_tokens_avg,api_total_tokens_avg
ours_bm25_only,100,100,100,0,0.59,0.4223880298269592,0.21,0.4223880298269592,3019.84,1500.0,1540.17,0.5027704524166461,0.006674880981445263,2.486916952133179,4,0,1545.5,223.01,1768.51
ours_keyword,100,100,100,0,0.66,0.4613246767096586,0.22,0.4613246767096586,3019.84,1500.0,1540.14,0.5027704524166461,0.012200181484222368,2.679144823551178,2,0,1545.76,241.27,1787.03
ours_full,100,100,100,0,0.6,0.4138924121973658,0.17,0.4138924121973658,3019.84,1500.0,1540.15,0.5027704524166461,0.01153172492980952,2.261009202003479,4,0,1545.8,219.38,1765.18
