token_budget,sample_count,unique_samples,valid_predictions,empty_predictions,contains_answer_avg,f1_avg,nq_style_em_avg,nq_style_f1_avg,original_tokens_avg,compressed_tokens_avg,prompt_tokens_avg,token_saving_ratio_avg,compression_time_avg,answer_time_avg,retry_used_count,error_count,api_prompt_tokens_avg,api_completion_tokens_avg,api_total_tokens_avg
500,100,100,100,0,0.38,0.33887813940445516,0.2,0.33887813940445516,3019.84,500.0,540.25,0.8342568174722154,0.01194966554641719,2.187907314300537,2,0,556.05,196.02,752.07
750,100,100,100,0,0.42,0.3822219765099022,0.19,0.38222197650990225,3019.84,750.0,790.05,0.751385226208323,0.012753651142120319,2.2855822610855103,2,0,802.35,210.39,1012.74
1000,100,100,100,0,0.53,0.40950981519863605,0.2,0.40950981519863605,3019.84,1000.0,1040.15,0.6685136349444307,0.01204008579254146,2.1133300185203554,3,0,1050.05,192.05,1242.1
1500,100,100,100,0,0.62,0.4370422223974855,0.19,0.4370422223974855,3019.84,1500.0,1540.15,0.5027704524166461,0.01136040210723872,2.414575343132019,5,0,1545.8,238.29,1784.09
2000,100,100,100,0,0.69,0.4499039453494562,0.22,0.4499039453494562,3019.84,2000.0,2040.15,0.3370272698888614,0.01242235183715815,2.4345545244216917,4,0,2039.55,224.67,2264.22
