method,sample_count,unique_samples,valid_predictions,empty_predictions,contains_answer_avg,f1_avg,original_tokens_avg,compressed_tokens_avg,prompt_tokens_avg,compression_ratio_avg,token_saving_ratio_avg,compression_time_avg,answer_time_avg,fallback_used_count,retry_used_count,error_count,api_prompt_tokens_avg,api_completion_tokens_avg,api_total_tokens_avg,nq_style_em,nq_style_f1
original,100,100,100,0,0.63,0.4812866153815818,1510.09,1510.09,1551.16,1.0,0.0,0.0,3.0667643880844118,0,1,0,1561.7,210.27,1771.97,0.3,0.4812866153815818
truncate,100,100,100,0,0.62,0.5023205893802979,1510.09,750.0,791.03,2.013453333333333,0.5017737525172454,0.001391823291778526,2.7305940079689024,0,1,0,807.36,164.6,971.96,0.34,0.5023205893802979
bm25,100,100,100,0,0.62,0.5305799968740558,1510.09,756.43,796.99,1.9964175414616607,0.49749333408091057,0.003898627758026078,2.8660815572738647,0,2,0,813.48,193.05,1006.53,0.35,0.5305799968740559
llmlingua,100,100,100,0,0.6,0.4940295624101046,1510.09,720.3,761.46,2.097372872200135,0.5217590643946476,0.5426820659637451,3.93845760345459,0,3,0,774.17,276.92,1051.09,0.31,0.4940295624101046
longllmlingua,100,100,100,0,0.63,0.5081899214672335,1510.09,720.3,761.46,2.097372872200135,0.5217590643946476,0.5126699447631836,3.886933054924011,0,6,0,774.17,273.05,1047.22,0.32,0.5081899214672336
ours_full,100,100,100,0,0.54,0.4703198732811736,1510.09,750.0,791.0,2.013453333333333,0.5017737525172454,0.01036714553833003,2.3538487267494204,0,2,0,807.65,212.83,1020.48,0.29,0.4703198732811736
