method,sample_count,valid_predictions,empty_predictions,contains_answer_avg,f1_avg,nq_style_em,nq_style_f1,compressed_tokens_avg,token_saving_ratio_avg,prompt_tokens_avg,api_total_tokens_avg,answer_time_avg,compression_time_avg,retry_used_count,error_count
original,100,100,0,0.63,0.4812866153815818,0.3,0.4812866153815818,1510.09,0.0,1551.16,1771.97,3.0667643880844118,0.0,1,0
truncate,100,100,0,0.62,0.5023205893802979,0.34,0.5023205893802979,750.0,0.5017737525172454,791.03,971.96,2.7305940079689024,0.001391823291778526,1,0
bm25,100,100,0,0.62,0.5305799968740558,0.35,0.5305799968740559,756.43,0.49749333408091057,796.99,1006.53,2.8660815572738647,0.003898627758026078,2,0
llmlingua,100,100,0,0.6,0.4940295624101046,0.31,0.4940295624101046,720.3,0.5217590643946476,761.46,1051.09,3.93845760345459,0.5426820659637451,3,0
longllmlingua,100,100,0,0.63,0.5081899214672335,0.32,0.5081899214672336,720.3,0.5217590643946476,761.46,1047.22,3.886933054924011,0.5126699447631836,6,0
ours_full,100,100,0,0.54,0.4703198732811736,0.29,0.4703198732811736,750.0,0.5017737525172454,791.0,1020.48,2.3538487267494204,0.01036714553833003,2,0
