method,sample_count,unique_samples,valid_predictions,empty_predictions,contains_answer_avg,f1_avg,nq_style_em_avg,nq_style_f1_avg,compressed_tokens_avg,token_saving_ratio_avg,prompt_tokens_avg,api_total_tokens_avg,compression_time_avg,answer_time_avg,retry_used_count,error_count
ours_bm25_only,100,100,100,0,0.59,0.4223880298269592,0.21,0.4223880298269592,1500.0,0.5027704524166461,1540.17,1768.51,0.006674880981445263,2.486916952133179,4,0
ours_keyword,100,100,100,0,0.66,0.4613246767096586,0.22,0.4613246767096586,1500.0,0.5027704524166461,1540.14,1787.03,0.012200181484222368,2.679144823551178,2,0
ours_full,100,100,100,0,0.6,0.4138924121973658,0.17,0.4138924121973658,1500.0,0.5027704524166461,1540.15,1765.18,0.01153172492980952,2.261009202003479,4,0
